,Country Code,Year,SVMCI
0,AGO,1996,0.05807600571764285
1,AGO,1997,0.12739734265215208
2,AGO,1998,0.12561041893016178
3,AGO,1999,0.20790411910069997
4,AGO,2000,0.14690337042494453
5,AGO,2001,0.18194782410510038
6,AGO,2002,0.13728236422106782
7,AGO,2003,0.13243271507894677
8,AGO,2004,0.22096702076254235
9,AGO,2005,0.22052883936100184
10,AGO,2006,0.18576340737332572
11,AGO,2007,0.20510994951769226
12,AGO,2008,0.2109864693620035
13,AGO,2009,0.2078430195842527
14,AGO,2010,0.2161493947769852
15,AGO,2011,0.1799880279402225
16,AGO,2012,0.16417283996030801
17,AGO,2013,0.1779046481539646
18,AGO,2014,0.1542474510173984
19,AGO,2015,0.14207119589215164
20,AGO,2016,0.14621010645609636
21,ALB,1996,0.25150766735796287
22,ALB,1997,0.1836551602076084
23,ALB,1998,0.31966324602435564
24,ALB,1999,0.2838826156939973
25,ALB,2000,0.32149905701518944
26,ALB,2001,0.2780122608531567
27,ALB,2002,0.17830231634722185
28,ALB,2003,0.2547492174454758
29,ALB,2004,0.14224739156947
30,ALB,2005,0.1343618633980201
31,ALB,2006,0.1346375735883348
32,ALB,2007,0.14814455398844376
33,ALB,2008,0.13109047139816227
34,ALB,2009,0.11940778697815427
35,ALB,2010,0.0895025036569468
36,ALB,2011,0.0742690360255145
37,ALB,2012,0.08032080250054441
38,ALB,2013,0.10413690629792483
39,ALB,2014,0.17066002976235992
40,ALB,2015,0.15028743193079053
41,ALB,2016,0.144723406067332
42,ARE,1996,0.2524882787058803
43,ARE,1997,0.2184176701829339
44,ARE,1998,0.38391858694952785
45,ARE,1999,0.3121276058105948
46,ARE,2000,0.3544120907863782
47,ARE,2001,0.26632771787840787
48,ARE,2002,0.2844828576639888
49,ARE,2003,0.18811005970837397
50,ARE,2004,0.19792833641824517
51,ARE,2005,0.15995529492254904
52,ARE,2006,0.19833728670013706
53,ARE,2007,0.166263262340182
54,ARE,2008,0.2312984620153084
55,ARE,2009,0.26637023238884006
56,ARE,2010,0.24217466539435392
57,ARE,2011,0.3285213783062293
58,ARE,2012,0.3664729144776539
59,ARE,2013,0.3991585203325255
60,ARE,2014,0.5042901097884763
61,ARE,2015,0.5333918671606914
62,ARE,2016,0.568606767489352
63,ARG,1996,0.19465289396725877
64,ARG,1997,0.23022965838327897
65,ARG,1998,0.32675109589973633
66,ARG,1999,0.16172849247754145
67,ARG,2000,0.2581843304319998
68,ARG,2001,0.1674228193883705
69,ARG,2002,0.10824896089546845
70,ARG,2003,0.18403632201545092
71,ARG,2004,0.22850405502871066
72,ARG,2005,0.1889610300935472
73,ARG,2006,0.24947343000848946
74,ARG,2007,0.2377542403351426
75,ARG,2008,0.161567869154942
76,ARG,2009,0.14486594694393964
77,ARG,2010,0.1397976574332257
78,ARG,2011,0.13619621610409402
79,ARG,2012,0.09122992716636547
80,ARG,2013,0.11332392607157823
81,ARG,2014,0.12051255164644373
82,ARG,2015,0.09404316220898293
83,ARG,2016,0.16988149072907177
84,ARM,1996,0.2273906907456213
85,ARM,1997,0.23119418263161534
86,ARM,1998,0.17271340190604978
87,ARM,1999,0.2255226378284477
88,ARM,2000,0.19706582862317767
89,ARM,2001,0.27096030368690394
90,ARM,2002,0.21289250579643457
91,ARM,2003,0.22371890620817333
92,ARM,2004,0.16167245161321203
93,ARM,2005,0.18362850441311854
94,ARM,2006,0.162450187184081
95,ARM,2007,0.17352703920674573
96,ARM,2008,0.15804871477076893
97,ARM,2009,0.1716207669470368
98,ARM,2010,0.1790754936658961
99,ARM,2011,0.18343800133411473
100,ARM,2012,0.21220367561912148
101,ARM,2013,0.20077920564131777
102,ARM,2014,0.17469795060337281
103,ARM,2015,0.18889643991098395
104,ARM,2016,0.15297755271711516
105,AUS,1996,0.7798913184439005
106,AUS,1997,0.7761727776970471
107,AUS,1998,0.831960676769413
108,AUS,1999,0.8115463906590676
109,AUS,2000,0.7873075391979789
110,AUS,2001,0.8167839315386267
111,AUS,2002,0.8001137152409682
112,AUS,2003,0.8016444940412771
113,AUS,2004,0.8052763937953942
114,AUS,2005,0.8067617855861504
115,AUS,2006,0.8132278043793874
116,AUS,2007,0.8052733839131969
117,AUS,2008,0.8109760559404265
118,AUS,2009,0.8060179383639813
119,AUS,2010,0.8134946176574827
120,AUS,2011,0.8386310574877515
121,AUS,2012,0.8340998337659734
122,AUS,2013,0.8351588834398109
123,AUS,2014,0.8216894289809493
124,AUS,2015,0.8348105103691387
125,AUS,2016,0.8398442510603015
126,AUT,1996,0.787096431858369
127,AUT,1997,0.8057237919897441
128,AUT,1998,0.7973492392505934
129,AUT,1999,0.8082083640447532
130,AUT,2000,0.8132164650037148
131,AUT,2001,0.8044821886502255
132,AUT,2002,0.8048972781744843
133,AUT,2003,0.8091182906266332
134,AUT,2004,0.823925332864063
135,AUT,2005,0.7799393565425672
136,AUT,2006,0.7855711413655516
137,AUT,2007,0.7681064884544634
138,AUT,2008,0.769939587649835
139,AUT,2009,0.7792543731329034
140,AUT,2010,0.7826165627367248
141,AUT,2011,0.777676897238842
142,AUT,2012,0.770702610232477
143,AUT,2013,0.7762183214831567
144,AUT,2014,0.7757257859008276
145,AUT,2015,0.785694929901081
146,AUT,2016,0.8255123566185117
147,AZE,1996,0.1761513334170624
148,AZE,1997,0.17450334009605795
149,AZE,1998,0.17680482620183485
150,AZE,1999,0.19617860646636567
151,AZE,2000,0.1425575844043588
152,AZE,2001,0.18727580843442007
153,AZE,2002,0.17927836152698223
154,AZE,2003,0.1810772985921891
